Parceiro,id_Imovel_imobiliaria,Data de Entrada,O proprietário aceitou publicar com o QuintoAndar,Tag Imobiliária,Nome do Proprietário,Telefone,E-mail pessoal do proprietário. Ex: fulanoassis@hotmail.com,Opt-in para receber mensagem no whastapp,Responsável pelo gerenciamento do cadastro,"Nome do responsável pelo gerenciamento do cadastro, caso seja um administrador/terceiro",Selecione o tipo de imóvel,"Nome do logradouro (rua, avenida, praça), junto com o número. Ex: Rua Girassol, 555 - Vila Madalena , São Paulo - SP.",Número,CEP,Andar (em caso de kitnet e apartamento). Ex: 11,"Número do apartamento (em caso de apartamento, casa condomínio ou kitnet). Ex: Apto 32 - Bloco C",Quantidade de quartos. Ex: 2,"Destes quartos, quantos são suites? Ex: 1",Quantidade de banheiros no total. Ex: 2,Metragem de área útil. Ex: 50m2,O que vai ficar no imóvel? (quando é mobiliado),Portaria (caSimo Simeja apartameNãoto ou caSima coNãodomíNãoio),Vagas de garagem. Ex: 2,"Descrição do imóvel. Ex: Bem iluminado e arejado, próximo ao shopping X e 15 minutos do metro X. ",Quem mora no imóvel?,Possui restrição para visitas em caso de inquilino ou proprietário morando?,"Se o imóvel estiver vago, qual o tipo de chave? ","Se sim, escreva abaixo as observações deixando claro o local das chaves. ",Onde estão as chaves?,Placa?,Observação Interna,Imóvel será anunciado pra venda?,Valor da venda. Ex: R$1.000.000.00,Valor do condomínio. se existir. Ex: R$500.00,Valor IPTU,Como é feito o pagamento?,Status Pré Contato,Qtd. De Ligações,Status Pós Contato,Justificativa,Status Final,Código do imóv0l QuintoAndar,Obs,Data Cadastro,Aprovado LQ,Imóvel já listado/publicado
Real Up,36193,30/03/2022,Sim,[3P-Real Up],Agendamentos Parceira Real Up,21980770248,central@realupimoveis.com.br,Sim,,,Apartamento,Rua Ipanema,53,Rua Ipanema,6,603,3,2,6,140,,Não,2,,PROPRIETARIO,Sim,Chave Comum,Imóvel Captado em Parceria com a imobiliária Real UP - RJ. Favor contactar a secretaria da Real Up no telefone 21980770248 para garantir o agendamento.,Imóvel Captado em Parceria com a imobiliária Real UP - RJ. Favor contactar a secretaria da Real Up no telefone 21980770248 para garantir o agendamento.,Não,[3P-Real Up],Sim,1890000,2700,4990,Mensalmente,,,,,,,,,,
Real Up,36185,30/03/2023,Sim,[3P-Real Up],Agendamentos Parceira Real Up,21980770248,central@realupimoveis.com.br,Sim,,,Apartamento,Rua Joaquim Silva,60,Rua Joaquim Silva,6,601,1,0,1,44,,Não,0,,PROPRIETARIO,Sim,Chave Comum,Imóvel Captado em Parceria com a imobiliária Real UP - RJ. Favor contactar a secretaria da Real Up no telefone 21980770248 para garantir o agendamento.,Imóvel Captado em Parceria com a imobiliária Real UP - RJ. Favor contactar a secretaria da Real Up no telefone 21980770248 para garantir o agendamento.,Não,[3P-Real Up],Sim,320000,470,0,Mensalmente,,,,,,,,,,
Real Up,36178,30/03/2024,Sim,[3P-Real Up],Agendamentos Parceira Real Up,21980770248,central@realupimoveis.com.br,Sim,,,Apartamento,Rua Uruguai,90,Rua Uruguai,8,COB 1,2,1,3,140,,Não,1,,PROPRIETARIO,Sim,Chave Comum,Imóvel Captado em Parceria com a imobiliária Real UP - RJ. Favor contactar a secretaria da Real Up no telefone 21980770248 para garantir o agendamento.,Imóvel Captado em Parceria com a imobiliária Real UP - RJ. Favor contactar a secretaria da Real Up no telefone 21980770248 para garantir o agendamento.,Não,[3P-Real Up],Sim,950000,980,2448,Mensalmente,,,,,,,,,,
Real Up,36176,30/03/2025,Sim,[3P-Real Up],Agendamentos Parceira Real Up,21980770248,central@realupimoveis.com.br,Sim,,,Apartamento,Rua Ernesto de Souza,162,Rua Ernesto de Souza,2,202,2,1,3,70,,Não,1,,PROPRIETARIO,Sim,Chave Comum,Imóvel Captado em Parceria com a imobiliária Real UP - RJ. Favor contactar a secretaria da Real Up no telefone 21980770248 para garantir o agendamento.,Imóvel Captado em Parceria com a imobiliária Real UP - RJ. Favor contactar a secretaria da Real Up no telefone 21980770248 para garantir o agendamento.,Não,[3P-Real Up],Sim,400000,330,0,Mensalmente,,,,,,,,,,
Real Up,36166,30/03/2026,Sim,[3P-Real Up],Agendamentos Parceira Real Up,21980770248,central@realupimoveis.com.br,Sim,,,Apartamento,Rua São Clemente,117,Rua São Clemente,5,504,3,1,4,104,,Não,2,,PROPRIETARIO,Sim,Chave Comum,Imóvel Captado em Parceria com a imobiliária Real UP - RJ. Favor contactar a secretaria da Real Up no telefone 21980770248 para garantir o agendamento.,Imóvel Captado em Parceria com a imobiliária Real UP - RJ. Favor contactar a secretaria da Real Up no telefone 21980770248 para garantir o agendamento.,Não,[3P-Real Up],Sim,1790000,1840,3549,Mensalmente,,,,,,,,,,
Real Up,36164,30/03/2027,Sim,[3P-Real Up],Agendamentos Parceira Real Up,21980770248,central@realupimoveis.com.br,Sim,,,Casa,Avenida Jardins de Santa Mônica,15,Avenida Jardins de Santa Mônica,0,1,5,5,11,700,,Não,3,,PROPRIETARIO,Sim,Chave Comum,Imóvel Captado em Parceria com a imobiliária Real UP - RJ. Favor contactar a secretaria da Real Up no telefone 21980770248 para garantir o agendamento.,Imóvel Captado em Parceria com a imobiliária Real UP - RJ. Favor contactar a secretaria da Real Up no telefone 21980770248 para garantir o agendamento.,Não,[3P-Real Up],Sim,11500000,2500,19000,Mensalmente,,,,,,,,,,
Real Up,36159,30/03/2028,Sim,[3P-Real Up],Agendamentos Parceira Real Up,21980770248,central@realupimoveis.com.br,Sim,,,Apartamento,Rua Pedro Américo,205,Rua Pedro Américo,5,501,2,1,3,75,,Não,1,,PROPRIETARIO,Sim,Chave Comum,Imóvel Captado em Parceria com a imobiliária Real UP - RJ. Favor contactar a secretaria da Real Up no telefone 21980770248 para garantir o agendamento.,Imóvel Captado em Parceria com a imobiliária Real UP - RJ. Favor contactar a secretaria da Real Up no telefone 21980770248 para garantir o agendamento.,Não,[3P-Real Up],Sim,600000,835,1869,Mensalmente,,,,,,,,,,
Real Up,36154,30/03/2029,Sim,[3P-Real Up],Agendamentos Parceira Real Up,21980770248,central@realupimoveis.com.br,Sim,,,Casa,Avenida Djalma Ribeiro,593,Avenida Djalma Ribeiro,0,,4,4,11,602,,Não,4,,PROPRIETARIO,Sim,Chave Comum,Imóvel Captado em Parceria com a imobiliária Real UP - RJ. Favor contactar a secretaria da Real Up no telefone 21980770248 para garantir o agendamento.,Imóvel Captado em Parceria com a imobiliária Real UP - RJ. Favor contactar a secretaria da Real Up no telefone 21980770248 para garantir o agendamento.,Não,[3P-Real Up],Sim,4850000,1300,12000,Mensalmente,,,,,,,,,,
Real Up,36135,30/03/2030,Sim,[3P-Real Up],Agendamentos Parceira Real Up,21980770248,central@realupimoveis.com.br,Sim,,,Apartamento,Praia de Botafogo,422,Praia de Botafogo,4,404,3,0,1,143,,Não,0,,PROPRIETARIO,Sim,Chave Comum,Imóvel Captado em Parceria com a imobiliária Real UP - RJ. Favor contactar a secretaria da Real Up no telefone 21980770248 para garantir o agendamento.,Imóvel Captado em Parceria com a imobiliária Real UP - RJ. Favor contactar a secretaria da Real Up no telefone 21980770248 para garantir o agendamento.,Não,[3P-Real Up],Sim,850000,1500,3405,Mensalmente,,,,,,,,,,
Real Up,36110,30/03/2031,Sim,[3P-Real Up],Agendamentos Parceira Real Up,21980770248,central@realupimoveis.com.br,Sim,,,Apartamento,Rua Rua Escritor Rodrigo Melo Franco (Res Ilha Pura),400,Rua Rua Escritor Rodrigo Melo Franco (Res Ilha Pura),14,1405,3,1,3,111,,Não,2,,PROPRIETARIO,Sim,Chave Comum,Imóvel Captado em Parceria com a imobiliária Real UP - RJ. Favor contactar a secretaria da Real Up no telefone 21980770248 para garantir o agendamento.,Imóvel Captado em Parceria com a imobiliária Real UP - RJ. Favor contactar a secretaria da Real Up no telefone 21980770248 para garantir o agendamento.,Não,[3P-Real Up],Sim,1330000,1000,3326,Mensalmente,,,,,,,,,,
Real Up,36103,30/03/2032,Sim,[3P-Real Up],Agendamentos Parceira Real Up,21980770248,central@realupimoveis.com.br,Sim,,,Apartamento,Avenida Lúcio Costa,3300,Avenida Lúcio Costa,12,1206,3,1,3,124,,Não,2,,PROPRIETARIO,Sim,Chave Comum,Imóvel Captado em Parceria com a imobiliária Real UP - RJ. Favor contactar a secretaria da Real Up no telefone 21980770248 para garantir o agendamento.,Imóvel Captado em Parceria com a imobiliária Real UP - RJ. Favor contactar a secretaria da Real Up no telefone 21980770248 para garantir o agendamento.,Não,[3P-Real Up],Sim,1837500,2371.7,7468,Mensalmente,,,,,,,,,,
Real Up,36084,30/03/2033,Sim,[3P-Real Up],Agendamentos Parceira Real Up,21980770248,central@realupimoveis.com.br,Sim,,,Apartamento,Rua Voluntários da Pátria,88,Rua Voluntários da Pátria,7,702,2,0,2,80,,Não,1,,PROPRIETARIO,Sim,Chave Comum,Imóvel Captado em Parceria com a imobiliária Real UP - RJ. Favor contactar a secretaria da Real Up no telefone 21980770248 para garantir o agendamento.,Imóvel Captado em Parceria com a imobiliária Real UP - RJ. Favor contactar a secretaria da Real Up no telefone 21980770248 para garantir o agendamento.,Não,[3P-Real Up],Sim,840000,950,2096,Mensalmente,,,,,,,,,,
Real Up,36081,30/03/2034,Sim,[3P-Real Up],Agendamentos Parceira Real Up,21980770248,central@realupimoveis.com.br,Sim,,,Apartamento,Rua Ernesto de Souza,39,Rua Ernesto de Souza,12,1204,3,1,4,147,,Não,2,,PROPRIETARIO,Sim,Chave Comum,Imóvel Captado em Parceria com a imobiliária Real UP - RJ. Favor contactar a secretaria da Real Up no telefone 21980770248 para garantir o agendamento.,Imóvel Captado em Parceria com a imobiliária Real UP - RJ. Favor contactar a secretaria da Real Up no telefone 21980770248 para garantir o agendamento.,Não,[3P-Real Up],Sim,890000,1070,1753,Mensalmente,,,,,,,,,,
Real Up,36071,30/03/2035,Sim,[3P-Real Up],Agendamentos Parceira Real Up,21980770248,central@realupimoveis.com.br,Sim,,,Apartamento,Avenida Gilberto Amado,301,Avenida Gilberto Amado,3,COB 1,4,2,4,341,,Não,3,,PROPRIETARIO,Sim,Chave Comum,Imóvel Captado em Parceria com a imobiliária Real UP - RJ. Favor contactar a secretaria da Real Up no telefone 21980770248 para garantir o agendamento.,Imóvel Captado em Parceria com a imobiliária Real UP - RJ. Favor contactar a secretaria da Real Up no telefone 21980770248 para garantir o agendamento.,Não,[3P-Real Up],Sim,3800000,3000,11132,Mensalmente,,,,,,,,,,
Real Up,36034,30/03/2036,Sim,[3P-Real Up],Agendamentos Parceira Real Up,21980770248,central@realupimoveis.com.br,Sim,,,Apartamento,Rua Voluntários da Pátria,180,Rua Voluntários da Pátria,13,1302,2,0,2,59,,Não,1,,PROPRIETARIO,Sim,Chave Comum,Imóvel Captado em Parceria com a imobiliária Real UP - RJ. Favor contactar a secretaria da Real Up no telefone 21980770248 para garantir o agendamento.,Imóvel Captado em Parceria com a imobiliária Real UP - RJ. Favor contactar a secretaria da Real Up no telefone 21980770248 para garantir o agendamento.,Não,[3P-Real Up],Sim,588000,750,1820,Mensalmente,,,,,,,,,,
Real Up,36024,30/03/2037,Sim,[3P-Real Up],Agendamentos Parceira Real Up,21980770248,central@realupimoveis.com.br,Sim,,,Apartamento,Avenida Lúcio Costa,3604,Avenida Lúcio Costa,1,103,3,1,4,138,,Não,2,,PROPRIETARIO,Sim,Chave Comum,Imóvel Captado em Parceria com a imobiliária Real UP - RJ. Favor contactar a secretaria da Real Up no telefone 21980770248 para garantir o agendamento.,Imóvel Captado em Parceria com a imobiliária Real UP - RJ. Favor contactar a secretaria da Real Up no telefone 21980770248 para garantir o agendamento.,Não,[3P-Real Up],Sim,1945000,2600,10328,Mensalmente,,,,,,,,,,
Real Up,36002,30/03/2038,Sim,[3P-Real Up],Agendamentos Parceira Real Up,21980770248,central@realupimoveis.com.br,Sim,,,Apartamento,Rua Pedro Américo,215,Rua Pedro Américo,6,604,1,0,0,42,,Não,1,,PROPRIETARIO,Sim,Chave Comum,Imóvel Captado em Parceria com a imobiliária Real UP - RJ. Favor contactar a secretaria da Real Up no telefone 21980770248 para garantir o agendamento.,Imóvel Captado em Parceria com a imobiliária Real UP - RJ. Favor contactar a secretaria da Real Up no telefone 21980770248 para garantir o agendamento.,Não,[3P-Real Up],Sim,400000,550,1000,Mensalmente,,,,,,,,,,
